BusinessID,BusinessName,PrefectureID,BusinessType,PrefectureName,BusinessTypeEn
4000032,株式会社練馬製菓,13,製菓・製パン,東京都,Confectionery and bakery
4000033,協同組合広川醸造,30,調味料製造,和歌山県,Seasoning manufacturing
4000034,株式会社北大東漁業,47,水産・水産加工,沖縄県,Fisheries and seafood processing
4000035,農事組合法人安芸本舗,39,調味料製造,高知県,Seasoning manufacturing
4000036,株式会社南木曽ブルワリー,20,醸造,長野県,Brewing
4000037,株式会社須恵水産,40,水産・水産加工,福岡県,Fisheries and seafood processing
4000038,株式会社江府果樹園,31,果樹・青果,鳥取県,Orchard and produce
4000039,協同組合瑞浪製陶,21,窯業・陶磁器,岐阜県,Ceramics
4000040,農事組合法人村山精米,6,米穀・製粉,山形県,Rice and milling
4000041,有限会社坂戸製菓,11,製菓・製パン,埼玉県,Confectionery and bakery
4000042,株式会社長井果樹園,6,果樹・青果,山形県,Orchard and produce
4000043,有限会社安芸太田陶苑,34,窯業・陶磁器,広島県,Ceramics
4000044,有限会社西原醸造,47,酒造,沖縄県,Sake and spirits brewing
4000045,協同組合広島酒造,34,酒造,広島県,Sake and spirits brewing
4000046,株式会社新篠津漁業,1,水産・水産加工,北海道,Fisheries and seafood processing
4000047,株式会社田上醸造,15,酒造,新潟県,Sake and spirits brewing
4000048,株式会社上越精米,15,米穀・製粉,新潟県,Rice and milling
4000049,有限会社奈義生活用品,33,生活用品,岡山県,Household goods
4000050,株式会社丸森飲料,4,飲料製造,宮城県,Beverage manufacturing
4000051,株式会社松茂農園,36,果樹・青果,徳島県,Orchard and produce
4000052,有限会社戸田フーズ,11,食品加工,埼玉県,Food processing
4000053,株式会社伊賀本舗,24,伝統工芸,三重県,Traditional crafts
4000054,農事組合法人大竹リゾート,34,観光・宿泊,広島県,Tourism and lodging
4000055,株式会社和木醸造,35,醸造,山口県,Brewing
4000056,有限会社日野工房,25,伝統工芸,滋賀県,Traditional crafts
4000057,有限会社富谷牧場,4,畜産・食肉加工,宮城県,Livestock and meat processing
4000058,協同組合安芸太田海産,34,水産・水産加工,広島県,Fisheries and seafood processing
4000059,合同会社延岡工芸,45,伝統工芸,宮崎県,Traditional crafts
4000060,合同会社雲南窯,32,窯業・陶磁器,島根県,Ceramics
4000061,株式会社甘楽製麺,10,製麺,群馬県,Noodle manufacturing
4000062,有限会社大和高田工房,29,伝統工芸,奈良県,Traditional crafts
4000063,合同会社東近江醸造,25,酒造,滋賀県,Sake and spirits brewing
4000064,農事組合法人加茂製麺,15,製麺,新潟県,Noodle manufacturing
4000065,株式会社小菅醸造,19,醸造,山梨県,Brewing
4000066,合同会社波佐見海産,42,水産・水産加工,長崎県,Fisheries and seafood processing
4000067,協同組合本部水産,47,水産・水産加工,沖縄県,Fisheries and seafood processing
4000068,農事組合法人美郷製麺,5,製麺,秋田県,Noodle manufacturing
4000069,有限会社野迫川テキスタイル,29,繊維・アパレル,奈良県,Textiles and apparel
4000070,株式会社狭山ベーカリー,11,製菓・製パン,埼玉県,Confectionery and bakery
4000071,株式会社精華製茶,26,製茶・焙煎,京都府,Tea processing and roasting
4000072,農事組合法人中川牧場,1,畜産・食肉加工,北海道,Livestock and meat processing
4000073,有限会社周南フーズ,35,食品加工,山口県,Food processing
4000074,株式会社神栖牧場,8,畜産・食肉加工,茨城県,Livestock and meat processing
4000075,協同組合下妻青果,8,農産・青果,茨城県,Agriculture and produce
4000076,株式会社南山城製作所,26,電機・機械,京都府,Electronics and machinery
4000077,株式会社遊佐フルーツ,6,果樹・青果,山形県,Orchard and produce
4000078,有限会社鹿島ミート,41,畜産・食肉加工,佐賀県,Livestock and meat processing
4000079,株式会社智頭米穀,31,米穀・製粉,鳥取県,Rice and milling
4000080,有限会社茨城製麺,8,製麺,茨城県,Noodle manufacturing
4000081,有限会社加美水産,4,水産・水産加工,宮城県,Fisheries and seafood processing
4000082,有限会社玄海陶苑,41,窯業・陶磁器,佐賀県,Ceramics
4000083,有限会社五條繊維,29,繊維・アパレル,奈良県,Textiles and apparel
4000084,農事組合法人横瀬精米,11,米穀・製粉,埼玉県,Rice and milling
4000085,有限会社安芸太田酒造場,34,酒造,広島県,Sake and spirits brewing
4000086,農事組合法人豊橋旅館,23,観光・宿泊,愛知県,Tourism and lodging
4000087,有限会社男鹿精米,5,米穀・製粉,秋田県,Rice and milling
4000088,有限会社田子青果,2,農産・青果,青森県,Agriculture and produce
4000089,合同会社志免牧場,40,畜産・食肉加工,福岡県,Livestock and meat processing
4000090,株式会社大月農園,19,果樹・青果,山梨県,Orchard and produce
4000091,株式会社今治アウトドア,38,スポーツ用品,愛媛県,Sporting goods
4000092,株式会社南アルプス工房,19,伝統工芸,山梨県,Traditional crafts
4000093,株式会社勝浦畜産,12,畜産・食肉加工,千葉県,Livestock and meat processing
4000094,有限会社鳴門繊維,36,繊維・アパレル,徳島県,Textiles and apparel
4000095,有限会社石井製麺,36,製麺,徳島県,Noodle manufacturing
4000096,株式会社北栄牧場,31,畜産・食肉加工,鳥取県,Livestock and meat processing
4000097,合同会社守口ツーリズム,27,観光・体験,大阪府,Tourism and experiences
4000098,有限会社東白川工芸,21,伝統工芸,岐阜県,Traditional crafts
4000099,農事組合法人小松酒造,17,酒造,石川県,Sake and spirits brewing
4000100,株式会社嘉島果樹園,43,果樹・青果,熊本県,Orchard and produce
4000101,株式会社大紀工房,24,伝統工芸,三重県,Traditional crafts
4000102,農事組合法人平塚商会,14,生活用品,神奈川県,Household goods
4000103,有限会社安芸太田製陶,34,窯業・陶磁器,広島県,Ceramics
4000104,有限会社野田ミート,3,畜産・食肉加工,岩手県,Livestock and meat processing
4000105,農事組合法人にかほ麺業,5,製麺,秋田県,Noodle manufacturing
4000106,有限会社尾花沢酒造場,6,酒造,山形県,Sake and spirits brewing
4000107,有限会社四日水産,24,水産・水産加工,三重県,Fisheries and seafood processing
4000108,株式会社南城フルーツ,47,果樹・青果,沖縄県,Orchard and produce
4000109,有限会社東員青果,24,農産・青果,三重県,Agriculture and produce
4000110,株式会社湧水酒造,46,酒造,鹿児島県,Sake and spirits brewing
4000111,有限会社小川麺業,20,製麺,長野県,Noodle manufacturing
4000112,株式会社鬼北繊維,38,繊維・アパレル,愛媛県,Textiles and apparel
4000113,有限会社朝霞ベーカリー,11,製菓・製パン,埼玉県,Confectionery and bakery
4000114,有限会社田農園,7,農産・青果,福島県,Agriculture and produce
4000115,合同会社時津水産,42,水産・水産加工,長崎県,Fisheries and seafood processing
4000116,協同組合南砺漁業,16,水産・水産加工,富山県,Fisheries and seafood processing
4000117,農事組合法人高山ワイナリー,20,醸造,長野県,Brewing
4000118,有限会社石巻畜産,4,畜産・食肉加工,宮城県,Livestock and meat processing
4000119,合同会社豊後大野リゾート,44,観光・宿泊,大分県,Tourism and lodging
4000120,合同会社鬼北水産,38,水産・水産加工,愛媛県,Fisheries and seafood processing
4000121,株式会社下関精米,35,米穀・製粉,山口県,Rice and milling
4000122,有限会社池田商店,27,食品加工,大阪府,Food processing
4000123,協同組合宮津木工,26,木工・家具,京都府,Woodwork and furniture
4000124,合同会社皆野ブルワリー,11,醸造,埼玉県,Brewing
4000125,協同組合檮原本舗,39,調味料製造,高知県,Seasoning manufacturing
4000126,有限会社嵐山ライス,11,米穀・製粉,埼玉県,Rice and milling
4000127,合同会社伊勢原生活用品,14,生活用品,神奈川県,Household goods
4000128,合同会社牧之原商店,22,食品加工,静岡県,Food processing
4000129,有限会社行田乳業,11,酪農・乳製品,埼玉県,Dairy farming
4000130,合同会社日之影果樹園,45,果樹・青果,宮崎県,Orchard and produce
4000131,株式会社南丹製茶,26,製茶・焙煎,京都府,Tea processing and roasting
4000132,株式会社庄原旅館,34,観光・宿泊,広島県,Tourism and lodging
4000133,株式会社甲賀ミート,25,畜産・食肉加工,滋賀県,Livestock and meat processing
4000134,有限会社東フルーツ,47,果樹・青果,沖縄県,Orchard and produce
4000135,農事組合法人小布施珈琲,20,製茶・焙煎,長野県,Tea processing and roasting
4000136,株式会社岩出海産,30,水産・水産加工,和歌山県,Fisheries and seafood processing
4000137,株式会社呉漁業,34,水産・水産加工,広島県,Fisheries and seafood processing
4000138,株式会社鶴ヶ島茶園,11,製茶・焙煎,埼玉県,Tea processing and roasting
4000139,株式会社河合フルーツ,29,果樹・青果,奈良県,Orchard and produce
4000140,協同組合高石ワイナリー,27,醸造,大阪府,Brewing
4000141,有限会社板柳農園,2,農産・青果,青森県,Agriculture and produce
4000142,株式会社西興部乳業,1,酪農・乳製品,北海道,Dairy farming
4000143,有限会社岡谷リゾート,20,観光・宿泊,長野県,Tourism and lodging
4000144,有限会社加東畜産,28,畜産・食肉加工,兵庫県,Livestock and meat processing
4000145,株式会社宇部精米,35,米穀・製粉,山口県,Rice and milling
4000146,株式会社清瀬観光,13,観光・体験,東京都,Tourism and experiences
4000147,株式会社斑鳩工房,29,伝統工芸,奈良県,Traditional crafts
4000148,株式会社杵築畜産,44,畜産・食肉加工,大分県,Livestock and meat processing
4000149,有限会社南越前窯,18,窯業・陶磁器,福井県,Ceramics
4000150,農事組合法人伊方繊維,38,繊維・アパレル,愛媛県,Textiles and apparel
4000151,合同会社湖南工芸,25,伝統工芸,滋賀県,Traditional crafts
4000152,有限会社大月飲料,19,飲料製造,山梨県,Beverage manufacturing
4000153,有限会社椎葉果樹園,45,果樹・青果,宮崎県,Orchard and produce
4000154,株式会社南三陸フーズ,4,食品加工,宮城県,Food processing
4000155,有限会社上峰ミート,41,畜産・食肉加工,佐賀県,Livestock and meat processing
4000156,株式会社小田原商店,14,食品加工,神奈川県,Food processing
4000157,株式会社那須牧場,9,畜産・食肉加工,栃木県,Livestock and meat processing
4000158,有限会社高砂漁業,28,水産・水産加工,兵庫県,Fisheries and seafood processing
4000159,株式会社東松島食品,4,食品加工,宮城県,Food processing
4000160,株式会社下呂窯,21,窯業・陶磁器,岐阜県,Ceramics
4000161,株式会社さつま醸造,46,酒造,鹿児島県,Sake and spirits brewing
4000162,有限会社由布リゾート,44,観光・宿泊,大分県,Tourism and lodging
4000163,株式会社岩倉本舗,23,調味料製造,愛知県,Seasoning manufacturing
4000164,有限会社勝山ブルワリー,18,醸造,福井県,Brewing
4000165,有限会社美作精米,33,米穀・製粉,岡山県,Rice and milling
4000166,合同会社徳島麺業,36,製麺,徳島県,Noodle manufacturing
4000167,農事組合法人奈半利陶苑,39,窯業・陶磁器,高知県,Ceramics
4000168,有限会社佐世保製麺,42,製麺,長崎県,Noodle manufacturing
4000169,農事組合法人湯梨浜海産,31,水産・水産加工,鳥取県,Fisheries and seafood processing
4000170,有限会社赤平デイリー,1,酪農・乳製品,北海道,Dairy farming
4000171,株式会社横瀬製茶,11,製茶・焙煎,埼玉県,Tea processing and roasting
4000172,合同会社白河フルーツ,7,果樹・青果,福島県,Orchard and produce
4000173,合同会社石垣果樹園,47,果樹・青果,沖縄県,Orchard and produce
4000174,合同会社塩竈電機,4,電機・機械,宮城県,Electronics and machinery
4000175,有限会社五泉ライス,15,米穀・製粉,新潟県,Rice and milling
4000176,株式会社愛南繊維,38,繊維・アパレル,愛媛県,Textiles and apparel
4000177,株式会社甲府醸造,19,醸造,山梨県,Brewing
4000178,農事組合法人四街道フーズ,12,食品加工,千葉県,Food processing
4000179,株式会社山形農園,20,果樹・青果,長野県,Orchard and produce
4000180,株式会社大治醸造,23,調味料製造,愛知県,Seasoning manufacturing
4000181,協同組合遠賀電機,40,電機・機械,福岡県,Electronics and machinery
4000182,合同会社河内米穀,8,米穀・製粉,茨城県,Rice and milling
4000183,有限会社箱根旅館,14,観光・宿泊,神奈川県,Tourism and lodging
4000184,株式会社あま織物,23,繊維・アパレル,愛知県,Textiles and apparel
4000185,有限会社東みよし青果,36,農産・青果,徳島県,Agriculture and produce
4000186,有限会社永平寺米穀,18,米穀・製粉,福井県,Rice and milling
4000187,株式会社見附醸造,15,酒造,新潟県,Sake and spirits brewing
4000188,株式会社三朝酒造場,31,酒造,鳥取県,Sake and spirits brewing
4000189,合同会社東みよし麺業,36,製麺,徳島県,Noodle manufacturing
4000190,株式会社駒ヶ根麺業,20,製麺,長野県,Noodle manufacturing
4000191,有限会社大間水産,2,水産・水産加工,青森県,Fisheries and seafood processing
4000192,株式会社袋井食品,22,食品加工,静岡県,Food processing
4000193,農事組合法人東庄ミート,12,畜産・食肉加工,千葉県,Livestock and meat processing
4000194,有限会社鳥栖窯,41,窯業・陶磁器,佐賀県,Ceramics
4000195,合同会社上牧本舗,29,伝統工芸,奈良県,Traditional crafts
4000196,株式会社みなべ食品,30,調味料製造,和歌山県,Seasoning manufacturing
4000197,協同組合山陽小野田製作所,35,電機・機械,山口県,Electronics and machinery
4000198,有限会社勝山製陶,18,窯業・陶磁器,福井県,Ceramics
4000199,株式会社美郷麺業,32,製麺,島根県,Noodle manufacturing
4000200,合同会社三芳商店,11,食品加工,埼玉県,Food processing
4000201,合同会社大酒造場,41,酒造,佐賀県,Sake and spirits brewing
4000202,株式会社鹿児島酒造場,46,酒造,鹿児島県,Sake and spirits brewing
4000203,株式会社上ミート,16,畜産・食肉加工,富山県,Livestock and meat processing
4000204,株式会社小浜茶園,18,製茶・焙煎,福井県,Tea processing and roasting
4000205,株式会社太子観光,27,観光・体験,大阪府,Tourism and experiences
4000206,株式会社舟橋酒造場,16,酒造,富山県,Sake and spirits brewing
4000207,農事組合法人御前崎商店,22,食品加工,静岡県,Food processing
4000208,株式会社岸和田商店,27,食品加工,大阪府,Food processing
4000209,株式会社岐南牧場,21,畜産・食肉加工,岐阜県,Livestock and meat processing
4000210,合同会社鶴田牧場,2,畜産・食肉加工,青森県,Livestock and meat processing
4000211,農事組合法人尾花沢酒造場,6,酒造,山形県,Sake and spirits brewing
4000212,株式会社真岡乳業,9,酪農・乳製品,栃木県,Dairy farming
4000213,協同組合行田茶園,11,製茶・焙煎,埼玉県,Tea processing and roasting
4000214,有限会社坂祝工房,21,伝統工芸,岐阜県,Traditional crafts
4000215,有限会社柏原麺業,27,製麺,大阪府,Noodle manufacturing
4000216,株式会社大津農園,43,農産・青果,熊本県,Agriculture and produce
4000217,有限会社橋本醸造,30,調味料製造,和歌山県,Seasoning manufacturing
4000218,株式会社揖斐川本舗,21,伝統工芸,岐阜県,Traditional crafts
4000219,株式会社洋野米穀,3,米穀・製粉,岩手県,Rice and milling
4000220,有限会社豊山商店,23,食品加工,愛知県,Food processing
4000221,合同会社阿賀製麺,15,製麺,新潟県,Noodle manufacturing
4000222,協同組合垂水牧場,46,畜産・食肉加工,鹿児島県,Livestock and meat processing
4000223,株式会社益子ミート,9,畜産・食肉加工,栃木県,Livestock and meat processing
4000224,株式会社日出酒造,44,酒造,大分県,Sake and spirits brewing
4000225,合同会社柳井フーズ,35,食品加工,山口県,Food processing
4000226,株式会社昭和青果,7,農産・青果,福島県,Agriculture and produce
4000227,有限会社輪之内牧場,21,畜産・食肉加工,岐阜県,Livestock and meat processing
4000228,合同会社徳島玩具,36,文具・玩具,徳島県,Stationery and toys
4000229,有限会社神埼窯,41,窯業・陶磁器,佐賀県,Ceramics
4000230,株式会社日置海産,46,水産・水産加工,鹿児島県,Fisheries and seafood processing
4000231,合同会社久米島果樹園,47,果樹・青果,沖縄県,Orchard and produce
4000232,株式会社湖西製茶,22,製茶・焙煎,静岡県,Tea processing and roasting
4000233,株式会社小松島ファーム,36,農産・青果,徳島県,Agriculture and produce
4000234,合同会社赤磐農園,33,果樹・青果,岡山県,Orchard and produce
4000235,有限会社壬生牧場,9,畜産・食肉加工,栃木県,Livestock and meat processing
4000236,株式会社津久見食品,44,食品加工,大分県,Food processing
4000237,農事組合法人身延ブルワリー,19,醸造,山梨県,Brewing
4000238,株式会社春日製麺,40,製麺,福岡県,Noodle manufacturing
4000239,株式会社湯沢米穀,15,米穀・製粉,新潟県,Rice and milling
4000240,合同会社嵐山食品,11,食品加工,埼玉県,Food processing
4000241,株式会社越前製陶,18,窯業・陶磁器,福井県,Ceramics
4000242,協同組合加美水産,4,水産・水産加工,宮城県,Fisheries and seafood processing
4000243,株式会社宮津珈琲,26,製茶・焙煎,京都府,Tea processing and roasting
4000244,株式会社福岡菓子舗,40,製菓・製パン,福岡県,Confectionery and bakery
4000245,有限会社海陽製作所,36,電機・機械,徳島県,Electronics and machinery
4000246,協同組合西条繊維,38,繊維・アパレル,愛媛県,Textiles and apparel
4000247,株式会社沼田ファーム,10,農産・青果,群馬県,Agriculture and produce
4000248,合同会社海田麺業,34,製麺,広島県,Noodle manufacturing
4000249,株式会社河内フーズ,8,食品加工,茨城県,Food processing
4000250,株式会社草津本舗,25,伝統工芸,滋賀県,Traditional crafts
4000251,株式会社にかほ畜産,5,畜産・食肉加工,秋田県,Livestock and meat processing
4000252,合同会社天城畜産,46,畜産・食肉加工,鹿児島県,Livestock and meat processing
4000253,株式会社南箕輪果樹園,20,果樹・青果,長野県,Orchard and produce
4000254,株式会社四万十漁業,39,水産・水産加工,高知県,Fisheries and seafood processing
4000255,合同会社菊陽酒造,43,酒造,熊本県,Sake and spirits brewing
4000256,農事組合法人八郎潟製麺,5,製麺,秋田県,Noodle manufacturing
4000257,合同会社嬉野ミート,41,畜産・食肉加工,佐賀県,Livestock and meat processing
4000258,株式会社うるま観光,47,観光・宿泊,沖縄県,Tourism and lodging
4000259,株式会社小山菓子舗,9,製菓・製パン,栃木県,Confectionery and bakery
4000260,有限会社上野製麺,10,製麺,群馬県,Noodle manufacturing
4000261,有限会社小浜ライス,18,米穀・製粉,福井県,Rice and milling
4000262,株式会社木城商店,45,食品加工,宮崎県,Food processing
4000263,農事組合法人播磨水産,28,水産・水産加工,兵庫県,Fisheries and seafood processing
4000264,株式会社新十津川乳業,1,酪農・乳製品,北海道,Dairy farming
4000265,株式会社印南麺業,30,製麺,和歌山県,Noodle manufacturing
4000266,農事組合法人福崎ベーカリー,28,製菓・製パン,兵庫県,Confectionery and bakery
4000267,株式会社かほく陶苑,17,窯業・陶磁器,石川県,Ceramics
4000268,有限会社王寺織物,29,繊維・アパレル,奈良県,Textiles and apparel
4000269,有限会社西ノ島海産,32,水産・水産加工,島根県,Fisheries and seafood processing
4000270,有限会社大田酒造,32,酒造,島根県,Sake and spirits brewing
4000271,農事組合法人八尾菓子舗,27,製菓・製パン,大阪府,Confectionery and bakery
4000272,株式会社養父酒造場,28,酒造,兵庫県,Sake and spirits brewing
4000273,株式会社名護醸造,47,酒造,沖縄県,Sake and spirits brewing
4000274,協同組合廿日酒造,34,酒造,広島県,Sake and spirits brewing
4000275,株式会社みどり食品,10,食品加工,群馬県,Food processing
4000276,農事組合法人加美フーズ,4,食品加工,宮城県,Food processing
4000277,合同会社美浜ドリンク,30,飲料製造,和歌山県,Beverage manufacturing
4000278,農事組合法人香芝工芸,29,伝統工芸,奈良県,Traditional crafts
4000279,農事組合法人東洋酒造,39,酒造,高知県,Sake and spirits brewing
4000280,有限会社姫島畜産,44,畜産・食肉加工,大分県,Livestock and meat processing
4000281,株式会社東串良化粧品,46,化粧品製造,鹿児島県,Cosmetics manufacturing
4000282,株式会社陸別牧場,1,畜産・食肉加工,北海道,Livestock and meat processing
4000283,有限会社四條畷商会,27,生活用品,大阪府,Household goods
4000284,農事組合法人日野生活用品,13,生活用品,東京都,Household goods
4000285,有限会社庄原漁業,34,水産・水産加工,広島県,Fisheries and seafood processing
4000286,有限会社古賀ミート,40,畜産・食肉加工,福岡県,Livestock and meat processing
4000287,農事組合法人坂東ミート,8,畜産・食肉加工,茨城県,Livestock and meat processing
4000288,有限会社羽後米穀,5,米穀・製粉,秋田県,Rice and milling
4000289,有限会社関川酒造,15,酒造,新潟県,Sake and spirits brewing
4000290,株式会社小山ツーリズム,9,観光・体験,栃木県,Tourism and experiences
4000291,有限会社萩漁業,35,水産・水産加工,山口県,Fisheries and seafood processing
4000292,有限会社かほくスポーツ,17,スポーツ用品,石川県,Sporting goods
4000293,農事組合法人串間酒造場,45,酒造,宮崎県,Sake and spirits brewing
4000294,有限会社青梅菓子舗,13,製菓・製パン,東京都,Confectionery and bakery
4000295,農事組合法人川崎旅館,14,観光・宿泊,神奈川県,Tourism and lodging
4000296,合同会社金沢海産,17,水産・水産加工,石川県,Fisheries and seafood processing
4000297,株式会社北九州ベーカリー,40,製菓・製パン,福岡県,Confectionery and bakery
4000298,協同組合さつま農園,46,農産・青果,鹿児島県,Agriculture and produce
4000299,株式会社奄美酒造,46,酒造,鹿児島県,Sake and spirits brewing
4000300,株式会社下北山珈琲,29,製茶・焙煎,奈良県,Tea processing and roasting
4000301,株式会社中川ブルワリー,20,醸造,長野県,Brewing
4000302,有限会社紫波漁業,3,水産・水産加工,岩手県,Fisheries and seafood processing
4000303,協同組合津奈木青果,43,農産・青果,熊本県,Agriculture and produce
4000304,株式会社稲城観光,13,観光・体験,東京都,Tourism and experiences
4000305,有限会社江別デイリー,1,酪農・乳製品,北海道,Dairy farming
4000306,有限会社さつま醸造,46,酒造,鹿児島県,Sake and spirits brewing
4000307,合同会社苓北畜産,43,畜産・食肉加工,熊本県,Livestock and meat processing
4000308,株式会社太良酒造場,41,酒造,佐賀県,Sake and spirits brewing
4000309,株式会社さくら牧場,9,畜産・食肉加工,栃木県,Livestock and meat processing
4000310,株式会社勝浦テキスタイル,36,繊維・アパレル,徳島県,Textiles and apparel
4000311,有限会社南越前ライス,18,米穀・製粉,福井県,Rice and milling
4000312,株式会社鏡野農園,33,果樹・青果,岡山県,Orchard and produce
4000313,有限会社松野飲料,38,飲料製造,愛媛県,Beverage manufacturing
4000314,株式会社阿蘇テキスタイル,43,繊維・アパレル,熊本県,Textiles and apparel
4000315,株式会社小田原商会,14,生活用品,神奈川県,Household goods
4000316,株式会社日吉津畜産,31,畜産・食肉加工,鳥取県,Livestock and meat processing
4000317,有限会社宇治ベーカリー,26,製菓・製パン,京都府,Confectionery and bakery
4000318,有限会社伊豆の国茶園,22,製茶・焙煎,静岡県,Tea processing and roasting
4000319,株式会社九重園芸,44,園芸・造園,大分県,Horticulture and landscaping
4000320,株式会社雲仙製菓,42,製菓・製パン,長崎県,Confectionery and bakery
4000321,合同会社日南漁業,31,水産・水産加工,鳥取県,Fisheries and seafood processing
4000322,株式会社北広島水産,34,水産・水産加工,広島県,Fisheries and seafood processing
4000323,有限会社鳩山商店,11,食品加工,埼玉県,Food processing
4000324,株式会社高浜酒造場,18,酒造,福井県,Sake and spirits brewing
4000325,有限会社千葉商会,12,生活用品,千葉県,Household goods
4000326,株式会社立科ファーム,20,農産・青果,長野県,Agriculture and produce
4000327,協同組合桑名菓子舗,24,製菓・製パン,三重県,Confectionery and bakery
4000328,有限会社吹田商会,27,生活用品,大阪府,Household goods
4000329,有限会社志摩海産,24,水産・水産加工,三重県,Fisheries and seafood processing
4000330,株式会社和光観光,11,観光・宿泊,埼玉県,Tourism and lodging
4000331,株式会社片品食品,10,食品加工,群馬県,Food processing
4000332,有限会社益田畜産,32,畜産・食肉加工,島根県,Livestock and meat processing
4000333,株式会社清水海産,22,水産・水産加工,静岡県,Fisheries and seafood processing
4000334,有限会社雫石漁業,3,水産・水産加工,岩手県,Fisheries and seafood processing
4000335,株式会社北山醸造,30,調味料製造,和歌山県,Seasoning manufacturing
4000336,合同会社高萩食品,8,食品加工,茨城県,Food processing
4000337,有限会社今帰仁酒造場,47,酒造,沖縄県,Sake and spirits brewing
4000338,株式会社藤崎フルーツ,2,果樹・青果,青森県,Orchard and produce
4000339,有限会社愛川商会,14,生活用品,神奈川県,Household goods
4000340,合同会社東広島醸造,34,酒造,広島県,Sake and spirits brewing
4000341,有限会社熱海商店,22,食品加工,静岡県,Food processing
4000342,株式会社長野原青果,10,農産・青果,群馬県,Agriculture and produce
4000343,有限会社室戸農園,39,農産・青果,高知県,Agriculture and produce
4000344,有限会社小牧本舗,23,調味料製造,愛知県,Seasoning manufacturing
4000345,株式会社池田陶苑,18,窯業・陶磁器,福井県,Ceramics
4000346,株式会社川南畜産,45,畜産・食肉加工,宮崎県,Livestock and meat processing
4000347,株式会社鉾田ミート,8,畜産・食肉加工,茨城県,Livestock and meat processing
4000348,合同会社坂井漁業,18,水産・水産加工,福井県,Fisheries and seafood processing
4000349,有限会社安八家具,21,木工・家具,岐阜県,Woodwork and furniture
4000350,株式会社与那国食品,47,食品加工,沖縄県,Food processing
4000351,株式会社小城ミート,41,畜産・食肉加工,佐賀県,Livestock and meat processing
4000352,株式会社まんのう本舗,37,伝統工芸,香川県,Traditional crafts
4000353,有限会社小矢部酒造,16,酒造,富山県,Sake and spirits brewing
4000354,株式会社下関米穀,35,米穀・製粉,山口県,Rice and milling
4000355,株式会社瀬戸内精米,33,米穀・製粉,岡山県,Rice and milling
4000356,農事組合法人松山海産,38,水産・水産加工,愛媛県,Fisheries and seafood processing
4000357,有限会社竹田窯,44,窯業・陶磁器,大分県,Ceramics
4000358,株式会社久万高原テキスタイル,38,繊維・アパレル,愛媛県,Textiles and apparel
4000359,株式会社中能登工芸,17,伝統工芸,石川県,Traditional crafts
4000360,農事組合法人有田川フルーツ,30,果樹・青果,和歌山県,Orchard and produce
4000361,有限会社藤井寺食品,27,食品加工,大阪府,Food processing
4000362,株式会社千代田ミート,10,畜産・食肉加工,群馬県,Livestock and meat processing
4000363,合同会社亘理水産,4,水産・水産加工,宮城県,Fisheries and seafood processing
4000364,株式会社湯沢製陶,5,窯業・陶磁器,秋田県,Ceramics
