GiftID,GiftName,CategoryID,MunicipalityID,Notes,GiftNameEn
3000061,北秋田市 今治タオル セット 8枚,21,052132,繊維・衣類 / 8枚,"Textiles and apparel from Akita, 8枚"
3000062,静岡県産 サーモン 刺身用 1kg,2,223018,魚介類・海産物 / 1kg,"Seafood from Shizuoka, 1kg"
3000063,千葉県産 とうもろこし 12本,5,122360,野菜・きのこ / 12本,"Vegetables and mushrooms from Chiba, 12本"
3000064,大分県産 豚ロース しゃぶしゃぶ用 2kg,1,442135,肉・肉加工品 / 2kg,"Meat and meat products from Oita, 2kg"
3000065,島田市産 シャインマスカット 4房,4,222097,果物 / 4房,"Fruit from Shizuoka, 4房"
3000066,岐阜県産 味付ジンギスカン 2kg,1,212164,肉・肉加工品 / 2kg,"Meat and meat products from Gifu, 2kg"
3000067,中土佐町産 ほたて貝柱 冷凍 1kg,2,394017,魚介類・海産物 / 1kg,"Seafood from Kochi, 1kg"
3000068,大分県産 ベーコン・ソーセージセット 1.8kg,1,442135,肉・肉加工品 / 1.8kg,"Meat and meat products from Oita, 1.8kg"
3000069,奈良県 和紙 便箋セット 1式,18,292044,工芸品・民芸品 / 1式,"Crafts and folk art from Nara, 1式"
3000070,須賀川市産 特別栽培米 玄米 20kg,3,072079,米・パン / 20kg,"Rice and bread from Fukushima, 20kg"
3000071,宮城県産 のどぐろ 干物 3枚,2,043613,魚介類・海産物 / 3枚,"Seafood from Miyagi, 3枚"
3000072,北海道産 黒毛和牛 切り落とし 500g,1,015431,肉・肉加工品 / 500g,"Meat and meat products from Hokkaido, 500g"
3000073,千葉県産 天然水 2L×24本,15,122041,飲料・ジュース / 2L×24本,"Beverages and juice from Chiba, 2L×24本"
3000074,滋賀県産 黒毛和牛 切り落とし 1.5kg,1,252093,肉・肉加工品 / 1.5kg,"Meat and meat products from Shiga, 1.5kg"
3000075,静岡県産 ほたて貝柱 冷凍 1kg,2,222054,魚介類・海産物 / 1kg,"Seafood from Shizuoka, 1kg"
3000076,矢掛町 今治タオル セット 8枚,21,334618,繊維・衣類 / 8枚,"Textiles and apparel from Okayama, 8枚"
3000077,西桂町産 メロン 秀品 1玉,4,194239,果物 / 1玉,"Fruit from Yamanashi, 1玉"
3000078,兵庫県産 特別純米酒 720ml×2本,10,281000,日本酒 / 720ml×2本,"Sake from Hyogo, 720ml×2本"
3000079,五島市産 バウムクーヘン 4個,9,422118,菓子・スイーツ / 4個,"Confectionery and sweets from Nagasaki, 4個"
3000080,山口県産 特別栽培米 玄米 20kg,3,352136,米・パン / 20kg,"Rice and bread from Yamaguchi, 20kg"
3000081,栃木県産 豚ロース しゃぶしゃぶ用 800g,1,093645,肉・肉加工品 / 800g,"Meat and meat products from Tochigi, 800g"
3000082,五島市産 厚切り牛タン 900g,1,422118,肉・肉加工品 / 900g,"Meat and meat products from Nagasaki, 900g"
3000083,"沖縄県 観光施設 利用券 5,000円分",27,473600,"旅行券・宿泊券 / 5,000円分","Travel and accommodation vouchers from Okinawa, 5,000円分"
3000084,埼玉県産 あきたこまち 精米 5kg,3,112453,米・パン / 5kg,"Rice and bread from Saitama, 5kg"
3000085,和歌山県産 さくらんぼ 佐藤錦 500g,4,302074,果物 / 500g,"Fruit from Wakayama, 500g"
3000086,京都府産 チーズケーキ 2台,9,262081,菓子・スイーツ / 2台,"Confectionery and sweets from Kyoto, 2台"
3000087,横須賀市産 プリン 詰め合わせ 8個,9,142018,菓子・スイーツ / 8個,"Confectionery and sweets from Kanagawa, 8個"
3000088,山形県産 ベーコン・ソーセージセット 1.8kg,1,064025,肉・肉加工品 / 1.8kg,"Meat and meat products from Yamagata, 1.8kg"
3000089,和歌山県産 ほたて貝柱 冷凍 1.5kg,2,302023,魚介類・海産物 / 1.5kg,"Seafood from Wakayama, 1.5kg"
3000090,愛知県 デニムジーンズ 1本,21,232050,繊維・衣類 / 1本,"Textiles and apparel from Aichi, 1本"
3000091,福島県 靴下 詰め合わせ 10足,21,072125,繊維・衣類 / 10足,"Textiles and apparel from Fukushima, 10足"
3000092,静岡県産 味付からあげ 2kg,8,223051,惣菜・加工品 / 2kg,"Prepared and processed foods from Shizuoka, 2kg"
3000093,鳥取県産 ゆめぴりか 精米 10kg,3,313866,米・パン / 10kg,"Rice and bread from Tottori, 10kg"
3000094,熊本県産 銘柄鶏 もも肉 3kg,1,432121,肉・肉加工品 / 3kg,"Meat and meat products from Kumamoto, 3kg"
3000095,宮崎県 海産物 定期便 毎月×6回,17,454427,定期便 / 毎月×6回,"Subscription deliveries from Miyazaki, 毎月×6回"
3000096,奄美市産 サーモン 刺身用 1kg,2,462225,魚介類・海産物 / 1kg,"Seafood from Kagoshima, 1kg"
3000097,愛媛県産 えごま油・亜麻仁油 180g×2本,16,384020,調味料・油 / 180g×2本,"Seasonings and oils from Ehime, 180g×2本"
3000098,美浜町産 ぽん酢・ドレッシング 5本,16,234460,調味料・油 / 5本,"Seasonings and oils from Aichi, 5本"
3000099,焼津市産 いくら醤油漬け 250g,2,222127,魚介類・海産物 / 250g,"Seafood from Shizuoka, 250g"
3000100,群馬県産 ベーコン・ソーセージセット 1.8kg,1,105244,肉・肉加工品 / 1.8kg,"Meat and meat products from Gunma, 1.8kg"
3000101,"中城村 観光施設 利用券 5,000円分",27,473286,"旅行券・宿泊券 / 5,000円分","Travel and accommodation vouchers from Okinawa, 5,000円分"
3000102,長野県産 メロン 秀品 1玉,4,203041,果物 / 1玉,"Fruit from Nagano, 1玉"
3000103,茨城県産 燻製 詰め合わせ 5種,8,083097,惣菜・加工品 / 5種,"Prepared and processed foods from Ibaraki, 5種"
3000104,京都府産 煎茶 詰め合わせ 100g×3袋,14,262129,茶・コーヒー / 100g×3袋,"Tea and coffee from Kyoto, 100g×3袋"
3000105,"いの町 観光施設 利用券 10,000円分",27,393860,"旅行券・宿泊券 / 10,000円分","Travel and accommodation vouchers from Kochi, 10,000円分"
3000106,滋賀県産 ハンバーグ 詰め合わせ 20個,1,253839,肉・肉加工品 / 20個,"Meat and meat products from Shiga, 20個"
3000107,福島県産 白桃 2kg,4,072109,果物 / 2kg,"Fruit from Fukushima, 2kg"
3000108,長野県産 チーズケーキ 2台,9,203238,菓子・スイーツ / 2台,"Confectionery and sweets from Nagano, 2台"
3000109,長崎県産 味付ジンギスカン 1kg,1,422134,肉・肉加工品 / 1kg,"Meat and meat products from Nagasaki, 1kg"
3000110,鹿児島市産 和牛 焼肉セット 1kg,1,462012,肉・肉加工品 / 1kg,"Meat and meat products from Kagoshima, 1kg"
3000111,周南市産 ひとめぼれ 無洗米 10kg,3,352152,米・パン / 10kg,"Rice and bread from Yamaguchi, 10kg"
3000112,福岡県産 ベーコン・ソーセージセット 1.8kg,1,402311,肉・肉加工品 / 1.8kg,"Meat and meat products from Fukuoka, 1.8kg"
3000113,福島県産 食パン 詰め合わせ 5斤,3,074217,米・パン / 5斤,"Rice and bread from Fukushima, 5斤"
3000114,山形市産 つや姫 精米 5kg,3,062014,米・パン / 5kg,"Rice and bread from Yamagata, 5kg"
3000115,福島県産 富有柿 5kg,4,072010,果物 / 5kg,"Fruit from Fukushima, 5kg"
3000116,大阪府 木製パズル 1点,25,272078,文具・玩具 / 1点,"Stationery and toys from Osaka, 1点"
3000117,青森県産 幸水梨 5kg,4,024236,果物 / 5kg,"Fruit from Aomori, 5kg"
3000118,うるま市 靴下 詰め合わせ 10足,21,472131,繊維・衣類 / 10足,"Textiles and apparel from Okinawa, 10足"
3000119,泉佐野市産 チーズケーキ 1台,9,272132,菓子・スイーツ / 1台,"Confectionery and sweets from Osaka, 1台"
3000120,東京都 木製パズル 1点,25,132039,文具・玩具 / 1点,"Stationery and toys from Tokyo, 1点"
3000121,兵庫県産 季節限定 生酒 720ml×2本,10,282294,日本酒 / 720ml×2本,"Sake from Hyogo, 720ml×2本"
3000122,徳島県 果物 定期便 隔月×6回,17,362042,定期便 / 隔月×6回,"Subscription deliveries from Tokushima, 隔月×6回"
3000123,阿見町産 冷凍餃子 50個,8,084433,惣菜・加工品 / 50個,"Prepared and processed foods from Ibaraki, 50個"
3000124,富山県 伝統こけし 1体,18,162060,工芸品・民芸品 / 1体,"Crafts and folk art from Toyama, 1体"
3000125,秩父別町産 季節の野菜 詰め合わせ 15品目,5,014346,野菜・きのこ / 15品目,"Vegetables and mushrooms from Hokkaido, 15品目"
3000126,鹿児島県産 泡盛 古酒 1.8L,11,462233,焼酎・泡盛 / 1.8L,"Shochu and awamori from Kagoshima, 1.8L"
3000127,群馬県産 高糖度トマト 2kg,5,104442,野菜・きのこ / 2kg,"Vegetables and mushrooms from Gunma, 2kg"
3000128,埼玉県産 ドリップコーヒー 50袋,14,113476,茶・コーヒー / 50袋,"Tea and coffee from Saitama, 50袋"
3000129,三股町産 完熟マンゴー 2kg,4,453412,果物 / 2kg,"Fruit from Miyazaki, 2kg"
3000130,山形県産 米粉パン セット 12個,3,062120,米・パン / 12個,"Rice and bread from Yamagata, 12個"
3000131,滋賀県産 和牛 焼肉セット 600g,1,252123,肉・肉加工品 / 600g,"Meat and meat products from Shiga, 600g"
3000132,鳥取県産 のどぐろ 干物 5枚,2,313726,魚介類・海産物 / 5枚,"Seafood from Tottori, 5枚"
3000133,沼田町産 生うに 200g,2,014389,魚介類・海産物 / 200g,"Seafood from Hokkaido, 200g"
3000134,浅川町産 純米吟醸 飲み比べ 720ml×3本,10,075043,日本酒 / 720ml×3本,"Sake from Fukushima, 720ml×3本"
3000135,佐賀県産 米焼酎 飲み比べ 720ml×3本,11,412058,焼酎・泡盛 / 720ml×3本,"Shochu and awamori from Saga, 720ml×3本"
3000136,福岡県産 和牛 焼肉セット 600g,1,402168,肉・肉加工品 / 600g,"Meat and meat products from Fukuoka, 600g"
3000137,岡山県 ガラス酒器 1式,19,332151,陶磁器・ガラス / 1式,"Ceramics and glassware from Okayama, 1式"
3000138,佐賀県産 ボイル毛がに 2尾,2,412082,魚介類・海産物 / 2尾,"Seafood from Saga, 2尾"
3000139,東秩父村産 自家焙煎コーヒー豆 200g×5袋,14,113697,茶・コーヒー / 200g×5袋,"Tea and coffee from Saitama, 200g×5袋"
3000140,島根県産 あじ開き 10枚,2,322016,魚介類・海産物 / 10枚,"Seafood from Shimane, 10枚"
3000141,中標津町産 スモーク鴨ロース 400g,1,016926,肉・肉加工品 / 400g,"Meat and meat products from Hokkaido, 400g"
3000142,茨城県産 冷凍餃子 100個,8,084425,惣菜・加工品 / 100個,"Prepared and processed foods from Ibaraki, 100個"
3000143,神奈川県産 佃煮 詰め合わせ 5種,8,142077,惣菜・加工品 / 5種,"Prepared and processed foods from Kanagawa, 5種"
3000144,茨城県産 スモーク鴨ロース 400g,1,082368,肉・肉加工品 / 400g,"Meat and meat products from Ibaraki, 400g"
3000145,"静岡県 観光施設 利用券 5,000円分",27,221309,"旅行券・宿泊券 / 5,000円分","Travel and accommodation vouchers from Shizuoka, 5,000円分"
3000146,島根県 シルクスカーフ 1枚,21,322041,繊維・衣類 / 1枚,"Textiles and apparel from Shimane, 1枚"
3000147,上尾市産 自家焙煎コーヒー豆 200g×3袋,14,112194,茶・コーヒー / 200g×3袋,"Tea and coffee from Saitama, 200g×3袋"
3000148,愛知県 今治タオル セット 5枚,21,232149,繊維・衣類 / 5枚,"Textiles and apparel from Aichi, 5枚"
3000149,兵庫県産 チーズケーキ 1台,9,282090,菓子・スイーツ / 1台,"Confectionery and sweets from Hyogo, 1台"
3000150,香川県 木製カッティングボード 2枚,20,372064,木工品・家具 / 2枚,"Woodwork and furniture from Kagawa, 2枚"
3000151,防府市産 ずわいがに 脚 800g,2,352063,魚介類・海産物 / 800g,"Seafood from Yamaguchi, 800g"
3000152,愛知県 靴下 詰め合わせ 10足,21,232041,繊維・衣類 / 10足,"Textiles and apparel from Aichi, 10足"
3000153,千葉県産 果汁100%ジュース 180ml×24本,15,122254,飲料・ジュース / 180ml×24本,"Beverages and juice from Chiba, 180ml×24本"
3000154,湧水町産 干物 詰め合わせ 12枚,2,464520,魚介類・海産物 / 12枚,"Seafood from Kagoshima, 12枚"
3000155,天塩町産 ずわいがに 脚 800g,2,014877,魚介類・海産物 / 800g,"Seafood from Hokkaido, 800g"
3000156,広島県産 のどぐろ 干物 5枚,2,341002,魚介類・海産物 / 5枚,"Seafood from Hiroshima, 5枚"
3000157,愛知県産 どら焼き 詰め合わせ 20個,9,232092,菓子・スイーツ / 20個,"Confectionery and sweets from Aichi, 20個"
3000158,みやこ町産 いくら醤油漬け 500g,2,406252,魚介類・海産物 / 500g,"Seafood from Fukuoka, 500g"
3000159,さぬき市産 富有柿 5kg,4,372064,果物 / 5kg,"Fruit from Kagawa, 5kg"
3000160,群馬県産 漬物 詰め合わせ 10種,8,104213,惣菜・加工品 / 10種,"Prepared and processed foods from Gunma, 10種"
3000161,長久手市産 冷凍餃子 100個,8,232386,惣菜・加工品 / 100個,"Prepared and processed foods from Aichi, 100個"
3000162,南アルプス市産 あまおういちご 540g,4,192082,果物 / 540g,"Fruit from Yamanashi, 540g"
3000163,鹿児島県 タオル 詰め合わせ 10枚,23,462080,日用品・雑貨 / 10枚,"Household goods from Kagoshima, 10枚"
3000164,秋田県産 黒毛和牛 サーロインステーキ 150g×3枚,1,053686,肉・肉加工品 / 150g×3枚,"Meat and meat products from Akita, 150g×3枚"
3000165,茨城県産 男爵じゃがいも 10kg,5,082015,野菜・きのこ / 10kg,"Vegetables and mushrooms from Ibaraki, 10kg"
3000166,高知市産 乾燥しいたけ 500g,5,392014,野菜・きのこ / 500g,"Vegetables and mushrooms from Kochi, 500g"
3000167,つがる市産 乾燥しいたけ 300g,5,022098,野菜・きのこ / 300g,"Vegetables and mushrooms from Aomori, 300g"
3000168,山梨県産 スパークリングワイン 750ml×2本,13,194247,ワイン / 750ml×2本,"Wine from Yamanashi, 750ml×2本"
3000169,土浦市産 たまねぎ 20kg,5,082031,野菜・きのこ / 20kg,"Vegetables and mushrooms from Ibaraki, 20kg"
3000170,兵庫県産 真鯛 フィレ 1kg,2,284424,魚介類・海産物 / 1kg,"Seafood from Hyogo, 1kg"
3000171,鳥取県産 特別栽培米 玄米 10kg,3,313025,米・パン / 10kg,"Rice and bread from Tottori, 10kg"
3000172,高知県産 ボイル毛がに 2尾,2,392120,魚介類・海産物 / 2尾,"Seafood from Kochi, 2尾"
3000173,"三重県 宿泊利用券 50,000円分",27,242080,"旅行券・宿泊券 / 50,000円分","Travel and accommodation vouchers from Mie, 50,000円分"
3000174,中種子町産 真鯛 フィレ 1kg,2,465011,魚介類・海産物 / 1kg,"Seafood from Kagoshima, 1kg"
3000175,長野県産 あまおういちご 540g,4,202011,果物 / 540g,"Fruit from Nagano, 540g"
3000176,福岡県産 サーモン 刺身用 600g,2,402150,魚介類・海産物 / 600g,"Seafood from Fukuoka, 600g"
3000177,宮崎県産 漬物 詰め合わせ 6種,8,452050,惣菜・加工品 / 6種,"Prepared and processed foods from Miyazaki, 6種"
3000178,神奈川県産 冷凍餃子 50個,8,142115,惣菜・加工品 / 50個,"Prepared and processed foods from Kanagawa, 50個"
3000179,新潟県産 あきたこまち 精米 5kg,3,152099,米・パン / 5kg,"Rice and bread from Niigata, 5kg"
3000180,岬町 果物狩り 体験チケット 2名,28,273660,体験・チケット / 2名,"Experiences and tickets from Osaka, 2名"
3000181,広川町産 明太子 切子 1kg,2,405442,魚介類・海産物 / 1kg,"Seafood from Fukuoka, 1kg"
3000182,新潟県産 特別栽培米 玄米 10kg,3,152170,米・パン / 10kg,"Rice and bread from Niigata, 10kg"
3000183,山口県産 特別栽培米 玄米 20kg,3,353051,米・パン / 20kg,"Rice and bread from Yamaguchi, 20kg"
3000184,福島県産 シャインマスカット 2房,4,072044,果物 / 2房,"Fruit from Fukushima, 2房"
3000185,茨城県産 燻製 詰め合わせ 5種,8,082309,惣菜・加工品 / 5種,"Prepared and processed foods from Ibaraki, 5種"
3000186,福井県産 純米吟醸 飲み比べ 720ml×3本,10,184811,日本酒 / 720ml×3本,"Sake from Fukui, 720ml×3本"
3000187,熊本県産 あまおういちご 540g,4,432148,果物 / 540g,"Fruit from Kumamoto, 540g"
3000188,和歌山県産 味噌 詰め合わせ 1kg×2個,16,304221,調味料・油 / 1kg×2個,"Seasonings and oils from Wakayama, 1kg×2個"
3000189,京都府産 どら焼き 詰め合わせ 12個,9,262030,菓子・スイーツ / 12個,"Confectionery and sweets from Kyoto, 12個"
3000190,北海道産 ベーコン・ソーセージセット 1.8kg,1,014681,肉・肉加工品 / 1.8kg,"Meat and meat products from Hokkaido, 1.8kg"
3000191,北海道産 バウムクーヘン 2個,9,014036,菓子・スイーツ / 2個,"Confectionery and sweets from Hokkaido, 2個"
3000192,東京都 洗剤 詰め合わせ 1式,23,132233,日用品・雑貨 / 1式,"Household goods from Tokyo, 1式"
3000193,大治町 シルクスカーフ 1枚,21,234249,繊維・衣類 / 1枚,"Textiles and apparel from Aichi, 1枚"
3000194,栃木県産 発酵バター 200g×3個,6,092045,卵・乳製品 / 200g×3個,"Eggs and dairy from Tochigi, 200g×3個"
3000195,滋賀県 打刃物 包丁 1本,18,254428,工芸品・民芸品 / 1本,"Crafts and folk art from Shiga, 1本"
3000196,山陽小野田市産 えごま油・亜麻仁油 180g×2本,16,352161,調味料・油 / 180g×2本,"Seasonings and oils from Yamaguchi, 180g×2本"
3000197,東京都 包丁研ぎ器 1個,23,132110,日用品・雑貨 / 1個,"Household goods from Tokyo, 1個"
3000198,南越前町 ガラス酒器 1式,19,184047,陶磁器・ガラス / 1式,"Ceramics and glassware from Fukui, 1式"
3000199,亀岡市 陶器 マグカップ 2個,19,262064,陶磁器・ガラス / 2個,"Ceramics and glassware from Kyoto, 2個"
3000200,一宮市産 燻製 詰め合わせ 8種,8,232033,惣菜・加工品 / 8種,"Prepared and processed foods from Aichi, 8種"
3000201,山梨県 和紙 便箋セット 1式,18,192023,工芸品・民芸品 / 1式,"Crafts and folk art from Yamanashi, 1式"
3000202,津久見市 木製食器セット 4点,20,442071,木工品・家具 / 4点,"Woodwork and furniture from Oita, 4点"
3000203,新潟県産 国産小麦パスタ 10袋,7,155047,麺類 / 10袋,"Noodles from Niigata, 10袋"
3000204,芝山町産 冷凍スムージー 12本,15,124095,飲料・ジュース / 12本,"Beverages and juice from Chiba, 12本"
3000205,愛媛県産 果汁100%ジュース 180ml×24本,15,382027,飲料・ジュース / 180ml×24本,"Beverages and juice from Ehime, 180ml×24本"
3000206,東京都産 和菓子 詰め合わせ 12個,9,132110,菓子・スイーツ / 12個,"Confectionery and sweets from Tokyo, 12個"
3000207,三重県産 ジェラート 詰め合わせ 12個,9,242152,菓子・スイーツ / 12個,"Confectionery and sweets from Mie, 12個"
3000208,福井県産 あきたこまち 精米 10kg,3,182052,米・パン / 10kg,"Rice and bread from Fukui, 10kg"
3000209,山形県産 さくらんぼ 佐藤錦 1kg,4,063631,果物 / 1kg,"Fruit from Yamagata, 1kg"
3000210,大阪狭山市産 和菓子 詰め合わせ 20個,9,272311,菓子・スイーツ / 20個,"Confectionery and sweets from Osaka, 20個"
3000211,北竜町産 チーズ 詰め合わせ 6種,6,014371,卵・乳製品 / 6種,"Eggs and dairy from Hokkaido, 6種"
3000212,熊本県産 白桃 3kg,4,432113,果物 / 3kg,"Fruit from Kumamoto, 3kg"
3000213,つくばみらい市産 佃煮 詰め合わせ 5種,8,082350,惣菜・加工品 / 5種,"Prepared and processed foods from Ibaraki, 5種"
3000214,大阪府 洗剤 詰め合わせ 1式,23,272302,日用品・雑貨 / 1式,"Household goods from Osaka, 1式"
3000215,美浦村産 黒毛和牛 サーロインステーキ 400g,1,084425,肉・肉加工品 / 400g,"Meat and meat products from Ibaraki, 400g"
3000216,南相馬市産 純米大吟醸 720ml,10,072125,日本酒 / 720ml,"Sake from Fukushima, 720ml"
3000217,南陽市 海産物 定期便 毎月×6回,17,062138,定期便 / 毎月×6回,"Subscription deliveries from Yamagata, 毎月×6回"
3000218,岐阜県 打刃物 包丁 1本,18,212067,工芸品・民芸品 / 1本,"Crafts and folk art from Gifu, 1本"
